year,node_id,assigned_cand,t_base_hr,units,node_type,last_mile_hours,last_mile_hours_nonmetro,last_mile_hours_final,drive_time_hr,rest_time_hr,travel_elapsed_hr,otd_hours,otd_days_promise,otd_bucket,purchase_prob,reachable_units,revenue,reachable_revenue
2027,METRO_BE_brussels,CAND_DE_koeln,2.192080312,540,metro,8.0,,8.0,2.192080312,0.0,2.192080312,10.192080312,0,0,1.0,540.0,244944.0,244944.0
2027,METRO_BE_antwerp,CAND_DE_koeln,2.168730063,268,metro,8.0,,8.0,2.168730063,0.0,2.168730063,10.168730063,0,0,1.0,268.0,121564.8,121564.8
2027,METRO_BE_liege,CAND_DE_koeln,1.232925711,173,metro,12.0,,12.0,1.232925711,0.0,1.232925711,13.232925711,0,0,1.0,173.0,78472.8,78472.8
2027,METRO_BE_gent,CAND_DE_koeln,2.719843547,121,metro,12.0,,12.0,2.719843547,0.0,2.719843547,14.719843547,0,0,1.0,121.0,54885.60000000001,54885.60000000001
2027,METRO_BE_charleroi,CAND_DE_koeln,2.230151033,105,metro,12.0,,12.0,2.230151033,0.0,2.230151033,14.230151033,0,0,1.0,105.0,47628.0,47628.0
2027,METRO_DE_berlin,CAND_DE_koeln,5.743456148,897,metro,8.0,,8.0,5.743456148,0.0,5.743456148,13.743456148,0,0,1.0,897.0,406879.2,406879.2
2027,METRO_DE_hamburg,CAND_DE_koeln,4.323124437,448,metro,8.0,,8.0,4.323124437,0.0,4.323124437,12.323124437,0,0,1.0,448.0,203212.8,203212.8
2027,METRO_DE_munich,CAND_DE_koeln,5.471794971,400,metro,8.0,,8.0,5.471794971,0.0,5.471794971,13.471794971,0,0,1.0,400.0,181440.0,181440.0
2027,METRO_DE_koeln,CAND_DE_koeln,0.0,242,metro,12.0,,12.0,0.0,0.0,0.0,12.0,0,0,1.0,242.0,109771.2,109771.2
2027,METRO_DE_frankfurt_am_main,CAND_DE_koeln,1.831562636,166,metro,12.0,,12.0,1.831562636,0.0,1.831562636,13.831562636,0,0,1.0,166.0,75297.6,75297.6
2027,METRO_DE_duesseldorf,CAND_DE_koeln,0.4114939,161,metro,12.0,,12.0,0.4114939,0.0,0.4114939,12.4114939,0,0,1.0,161.0,73029.6,73029.6
2027,METRO_DE_stuttgart,CAND_DE_koeln,3.450423452,160,metro,12.0,,12.0,3.450423452,0.0,3.450423452,15.450423451999999,0,0,1.0,160.0,72576.0,72576.0
2027,METRO_DE_leipzig,CAND_DE_koeln,4.570199404,153,metro,12.0,,12.0,4.570199404,0.0,4.570199404,16.570199404,0,0,1.0,153.0,69400.8,69400.8
2027,METRO_DE_dresden,CAND_DE_koeln,5.701427932,150,metro,12.0,,12.0,5.701427932,0.0,5.701427932,17.701427932,0,0,1.0,150.0,68040.0,68040.0
2027,METRO_DE_dortmund,CAND_DE_koeln,0.887796304,148,metro,12.0,,12.0,0.887796304,0.0,0.887796304,12.887796304,0,0,1.0,148.0,67132.8,67132.8
2027,METRO_DE_essen,CAND_DE_koeln,0.700198958,145,metro,12.0,,12.0,0.700198958,0.0,0.700198958,12.700198958,0,0,1.0,145.0,65772.0,65772.0
2027,METRO_DE_bremen,CAND_DE_koeln,3.239641245,143,metro,12.0,,12.0,3.239641245,0.0,3.239641245,15.239641245,0,0,1.0,143.0,64864.8,64864.8
2027,METRO_DE_hannover,CAND_DE_koeln,2.997415602,135,metro,12.0,,12.0,2.997415602,0.0,2.997415602,14.997415602,0,0,1.0,135.0,61236.0,61236.0
2027,METRO_DE_duisburg,CAND_DE_koeln,0.683807755,133,metro,12.0,,12.0,0.683807755,0.0,0.683807755,12.683807755,0,0,1.0,133.0,60328.8,60328.8
2027,METRO_DE_nuernberg,CAND_DE_koeln,4.039801255,126,metro,12.0,,12.0,4.039801255,0.0,4.039801255,16.039801255,0,0,1.0,126.0,57153.60000000001,57153.60000000001
2027,METRO_DE_wandsbek,CAND_DE_koeln,4.36384593,103,metro,12.0,,12.0,4.36384593,0.0,4.36384593,16.36384593,0,0,1.0,103.0,46720.8,46720.8
2027,METRO_DE_bochum,CAND_DE_koeln,0.764907729,96,metro,12.0,,12.0,0.764907729,0.0,0.764907729,12.764907729,0,0,1.0,96.0,43545.60000000001,43545.60000000001
2027,METRO_DE_bochum_hordel,CAND_DE_koeln,0.781523689,95,metro,12.0,,12.0,0.781523689,0.0,0.781523689,12.781523689,0,0,1.0,95.0,43092.0,43092.0
2027,METRO_DE_mannheim,CAND_DE_koeln,2.321838089,88,metro,12.0,,12.0,2.321838089,0.0,2.321838089,14.321838089,0,0,1.0,88.0,39916.8,39916.8
2027,METRO_DE_wuppertal,CAND_DE_koeln,0.461875759,87,metro,12.0,,12.0,0.461875759,0.0,0.461875759,12.461875759,0,0,1.0,87.0,39463.2,39463.2
2027,METRO_DE_bielefeld,CAND_DE_koeln,1.971032114,84,metro,12.0,,12.0,1.971032114,0.0,1.971032114,13.971032114,0,0,1.0,84.0,38102.4,38102.4
2027,METRO_DE_karlsruhe,CAND_DE_koeln,2.854364445,81,metro,12.0,,12.0,2.854364445,0.0,2.854364445,14.854364445,0,0,1.0,81.0,36741.6,36741.6
2027,METRO_DE_bonn,CAND_DE_koeln,0.292352573,80,metro,12.0,,12.0,0.292352573,0.0,0.292352573,12.292352573,0,0,1.0,80.0,36288.0,36288.0
2027,METRO_DE_marienthal,CAND_DE_koeln,4.346353532,72,metro,12.0,,12.0,4.346353532,0.0,4.346353532,16.346353532000002,0,0,1.0,72.0,32659.2,32659.2
2027,METRO_DE_hamburg_nord,CAND_DE_koeln,4.323561785,71,metro,12.0,,12.0,4.323561785,0.0,4.323561785,16.323561785,0,0,1.0,71.0,32205.6,32205.6
2027,METRO_DE_wiesbaden,CAND_DE_koeln,1.582430804,69,metro,12.0,,12.0,1.582430804,0.0,1.582430804,13.582430804,0,0,1.0,69.0,31298.4,31298.4
2027,METRO_DE_muenster,CAND_DE_koeln,1.483675152,69,metro,12.0,,12.0,1.483675152,0.0,1.483675152,13.483675152,0,0,1.0,69.0,31298.4,31298.4
2027,METRO_DE_gelsenkirchen,CAND_DE_koeln,0.772741568,68,metro,12.0,,12.0,0.772741568,0.0,0.772741568,12.772741568,0,0,1.0,68.0,30844.8,30844.8
2027,METRO_DE_aachen,CAND_DE_koeln,0.759313624,67,metro,12.0,,12.0,0.759313624,0.0,0.759313624,12.759313624,0,0,1.0,67.0,30391.2,30391.2
2027,METRO_DE_moenchengladbach,CAND_DE_koeln,0.543010145,66,metro,12.0,,12.0,0.543010145,0.0,0.543010145,12.543010145,0,0,1.0,66.0,29937.6,29937.6
2027,METRO_DE_augsburg,CAND_DE_koeln,4.827768955,66,metro,12.0,,12.0,4.827768955,0.0,4.827768955,16.827768955,0,0,1.0,66.0,29937.6,29937.6
2027,METRO_DE_eimsbuettel,CAND_DE_koeln,4.294472213,63,metro,12.0,,12.0,4.294472213,0.0,4.294472213,16.294472213,0,0,1.0,63.0,28576.8,28576.8
2027,METRO_DE_altona,CAND_DE_koeln,4.257425944,63,metro,12.0,,12.0,4.257425944,0.0,4.257425944,16.257425944,0,0,1.0,63.0,28576.8,28576.8
2027,METRO_DE_chemnitz,CAND_DE_koeln,5.033689449,62,metro,24.0,,24.0,5.033689449,0.0,5.033689449,29.033689449,1,1,0.95,58.9,28123.2,26717.04
2027,METRO_DE_braunschweig,CAND_DE_koeln,3.456275782,62,metro,24.0,,24.0,3.456275782,0.0,3.456275782,27.456275782,1,1,0.95,58.9,28123.2,26717.04
2027,METRO_DE_krefeld,CAND_DE_koeln,0.631936755,60,metro,24.0,,24.0,0.631936755,0.0,0.631936755,24.631936755,1,1,0.95,57.0,27216.0,25855.199999999997
2027,METRO_DE_halle_saale,CAND_DE_koeln,4.266776708,59,metro,24.0,,24.0,4.266776708,0.0,4.266776708,28.266776708000002,1,1,0.95,56.05,26762.4,25424.28
2027,METRO_DE_hamburg_mitte,CAND_DE_koeln,4.296737237,59,metro,24.0,,24.0,4.296737237,0.0,4.296737237,28.296737237000002,1,1,0.95,56.05,26762.4,25424.28
2027,METRO_DE_kiel,CAND_DE_koeln,5.203684283,59,metro,24.0,,24.0,5.203684283,0.0,5.203684283,29.203684283,1,1,0.95,56.05,26762.4,25424.28
2027,METRO_DE_magdeburg,CAND_DE_koeln,4.197424254,58,metro,24.0,,24.0,4.197424254,0.0,4.197424254,28.197424254,1,1,0.95,55.099999999999994,26308.8,24993.359999999997
2027,METRO_DE_neue_neustadt,CAND_DE_koeln,4.211057696,57,metro,24.0,,24.0,4.211057696,0.0,4.211057696,28.211057696,1,1,0.95,54.15,25855.2,24562.44
2027,METRO_DE_oberhausen,CAND_DE_koeln,0.730618916,55,metro,24.0,,24.0,0.730618916,0.0,0.730618916,24.730618916,1,1,0.95,52.25,24948.0,23700.6
2027,METRO_DE_freiburg,CAND_DE_koeln,3.996731843,55,metro,24.0,,24.0,3.996731843,0.0,3.996731843,27.996731843,1,1,0.95,52.25,24948.0,23700.6
2027,METRO_DE_luebeck,CAND_DE_koeln,4.958499364,53,metro,24.0,,24.0,4.958499364,0.0,4.958499364,28.958499363999998,1,1,0.95,50.349999999999994,24040.8,22838.76
