year,euro_dc_id,main_center_type,main_processing_activities,peak_inventory_units,peak_inventory_pallets,peak_daily_inbound_pallets,peak_daily_outbound_pallets,peak_daily_total_pallets,required_pallet_positions,required_rack_bays,rack_height_levels,rack_height_m,receiving_dock_doors,shipping_dock_doors,required_dock_doors_total,required_workers,rack_capex_usd,dock_capex_usd,annual_labor_cost_usd,approx_total_dc_cost_usd
2027,CAND_DE_koeln,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",193.90535512423008,26.0,129.0,59.0,149.0,31.0,4.0,4,6.0,4.0,2.0,6.0,6.0,1800.0,180000.0,360000.0,541800.0
2028,CAND_DE_koeln,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",354.53416403590023,45.0,229.0,88.0,249.0,53.0,7.0,4,6.0,6.0,3.0,9.0,10.0,3150.0,270000.0,600000.0,873150.0
2028,CAND_PL_lodz,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",105.73605317692008,14.0,180.0,34.0,180.0,17.0,3.0,4,6.0,5.0,1.0,6.0,8.0,1350.0,180000.0,480000.0,661350.0
2029,CAND_DE_koeln,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",877.6302127158,110.0,416.0,173.0,455.0,130.0,17.0,4,6.0,11.0,5.0,16.0,19.0,7650.0,480000.0,1140000.0,1627650.0
2029,CAND_ES_madrid,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",291.8716583104999,37.0,158.0,63.0,180.0,44.0,6.0,4,6.0,4.0,2.0,6.0,8.0,2700.0,180000.0,480000.0,662700.0
2029,CAND_PL_lodz,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",316.6377356513001,40.0,168.0,67.0,191.0,48.0,6.0,4,6.0,5.0,2.0,7.0,8.0,2700.0,210000.0,480000.0,692700.0
2030,CAND_DE_koeln,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",760.4708840062999,101.0,565.0,173.0,598.0,119.0,15.0,4,6.0,15.0,5.0,20.0,24.0,6750.0,600000.0,1440000.0,2046750.0
2030,CAND_ES_madrid,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",413.8316469606001,55.0,344.0,98.0,369.0,65.0,9.0,4,6.0,9.0,3.0,12.0,15.0,4050.0,360000.0,900000.0,1264050.0
2030,CAND_IT_rome,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",440.9775579963581,59.0,356.0,103.0,381.0,70.0,9.0,4,6.0,9.0,3.0,12.0,16.0,4050.0,360000.0,960000.0,1324050.0
2030,CAND_PL_lodz,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",439.7556494415,59.0,356.0,103.0,381.0,70.0,9.0,4,6.0,9.0,3.0,12.0,16.0,4050.0,360000.0,960000.0,1324050.0
2031,CAND_DE_koeln,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",749.2446057803002,108.0,468.0,192.0,491.0,128.0,16.0,4,6.0,12.0,5.0,17.0,20.0,7200.0,510000.0,1200000.0,1717200.0
2031,CAND_ES_madrid,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",437.2489353350003,63.0,280.0,114.0,300.0,75.0,10.0,4,6.0,7.0,3.0,10.0,12.0,4500.0,300000.0,720000.0,1024500.0
2031,CAND_IT_rome,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",493.871780274102,71.0,316.0,129.0,336.0,84.0,11.0,4,6.0,8.0,4.0,12.0,14.0,4950.0,360000.0,840000.0,1204950.0
2031,CAND_PL_lodz,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",471.2669191746004,68.0,301.0,123.0,321.0,80.0,10.0,4,6.0,8.0,4.0,12.0,13.0,4500.0,360000.0,780000.0,1144500.0
2032,CAND_DE_koeln,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",904.6599932207,162.0,442.0,217.0,478.0,191.0,24.0,4,6.0,12.0,6.0,18.0,20.0,10800.0,540000.0,1200000.0,1750800.0
2032,CAND_ES_madrid,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",529.9917386280999,95.0,270.0,132.0,296.0,112.0,14.0,4,6.0,7.0,4.0,11.0,12.0,6300.0,330000.0,720000.0,1056300.0
2032,CAND_IT_rome,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",614.2446510477538,110.0,307.0,147.0,335.0,130.0,17.0,4,6.0,8.0,4.0,12.0,14.0,7650.0,360000.0,840000.0,1207650.0
2032,CAND_PL_lodz,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",582.8780565318001,105.0,291.0,140.0,319.0,124.0,16.0,4,6.0,8.0,4.0,12.0,13.0,7200.0,360000.0,780000.0,1147200.0
2033,CAND_DE_koeln,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",862.7987689045001,115.0,555.0,218.0,575.0,136.0,17.0,4,6.0,14.0,6.0,20.0,23.0,7650.0,600000.0,1380000.0,1987650.0
2033,CAND_ES_madrid,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",508.1497510385,68.0,343.0,134.0,363.0,80.0,10.0,4,6.0,9.0,4.0,13.0,15.0,4500.0,390000.0,900000.0,1294500.0
2033,CAND_IT_rome,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",594.1101899999503,79.0,391.0,155.0,411.0,93.0,12.0,4,6.0,10.0,4.0,14.0,17.0,5400.0,420000.0,1020000.0,1445400.0
2033,CAND_PL_lodz,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",558.4522305851002,75.0,369.0,142.0,389.0,89.0,12.0,4,6.0,10.0,4.0,14.0,16.0,5400.0,420000.0,960000.0,1385400.0
2034,CAND_DE_koeln,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",986.4524943548,166.0,571.0,237.0,597.0,196.0,25.0,4,6.0,15.0,6.0,21.0,24.0,11250.0,630000.0,1440000.0,2081250.0
2034,CAND_ES_madrid,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",583.5106296813002,99.0,352.0,144.0,374.0,117.0,15.0,4,6.0,9.0,4.0,13.0,15.0,6750.0,390000.0,900000.0,1296750.0
2034,CAND_IT_rome,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",688.03846363938,116.0,411.0,169.0,433.0,137.0,18.0,4,6.0,11.0,5.0,16.0,18.0,8100.0,480000.0,1080000.0,1568100.0
2034,CAND_PL_lodz,Regional Euro DC,"Receiving, putaway, storage, pallet handling, order picking, staging, loading",640.9732769266999,108.0,385.0,158.0,407.0,128.0,16.0,4,6.0,10.0,4.0,14.0,17.0,7200.0,420000.0,1020000.0,1447200.0
