node_id,node_type,activation_year,coverage_gain_pct,drive_time_reduction_hr,best_outbound_detour_ratio
METRO_IT_barletta,PERI_URBAN_HUB,2030,,,1.0
NONMETRO_LV,DEMAND_NONMETRO,2030,,,
METRO_IT_nola,PERI_URBAN_HUB,2030,,,1.0
METRO_SE_stockholm,PERI_URBAN_HUB,2030,,,1.017
RELAY_2030_144,RELAY_HUB,2030,,,
METRO_FR_paris,PERI_URBAN_HUB,2030,,,1.0
METRO_HU_budapest,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_58,RELAY_HUB,2030,,,
RELAY_2030_149,RELAY_HUB,2030,,,
METRO_ES_fuencarral_el_pardo,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_harburg,PERI_URBAN_HUB,2030,,,1.002
METRO_IT_bologna,PERI_URBAN_HUB,2030,,,1.0
METRO_BE_charleroi,PERI_URBAN_HUB,2030,,,1.0
NONMETRO_EE,DEMAND_NONMETRO,2030,,,
RELAY_2030_24,RELAY_HUB,2030,,,
RELAY_2030_63,RELAY_HUB,2030,,,
RELAY_2030_71,RELAY_HUB,2030,,,
CAND_DE_koeln,DC,2030,,,1.0
METRO_ES_sants_montjuic,PERI_URBAN_HUB,2030,,,1.0
METRO_DK_copenhagen,PERI_URBAN_HUB,2030,,,1.0
NONMETRO_PL,DEMAND_NONMETRO,2030,,,
RELAY_2030_48,RELAY_HUB,2030,,,
METRO_BE_antwerp,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_83,RELAY_HUB,2030,,,
METRO_ES_leganes,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_38,RELAY_HUB,2030,,,
NONMETRO_DE,DEMAND_NONMETRO,2030,,,
RELAY_2030_70,RELAY_HUB,2030,,,
METRO_FR_le_havre,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_53,RELAY_HUB,2030,,,
RELAY_2030_25,RELAY_HUB,2030,,,
METRO_FR_bethune,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_essen,PERI_URBAN_HUB,2030,,,1.0
METRO_RO_timisoara,PERI_URBAN_HUB,2030,,,1.004
