year,lane_id,lane_type,truck_class,road_km,drive_time_hr,relay_flag,annual_flow,truckloads,transport_cost_eur,co2_kg
2027,PORT_NL_rotterdam__CAND_DE_koeln,PORT_DC,L,203.56,2.443,False,28602.0,157.0,361100.0,26705.7
2027,CAND_DE_koeln__METRO_BE_brussels,DC_HUB_DIRECT,M,182.67,2.192,False,538.8731358740679,90.0,12330.22,6740.5
2027,CAND_DE_koeln__METRO_BE_antwerp,DC_HUB_DIRECT,M,180.73,2.169,False,267.44074150787077,45.0,6099.64,3334.5
2027,CAND_DE_koeln__METRO_BE_liege,DC_HUB_DIRECT,M,102.74,1.233,False,1915.9287361226181,320.0,24657.6,13479.5
2027,CAND_DE_koeln__METRO_BE_gent,DC_HUB_DIRECT,M,226.65,2.72,False,120.7474989643745,21.0,3569.74,1951.5
2027,CAND_DE_koeln__METRO_BE_charleroi,DC_HUB_DIRECT,M,185.85,2.23,False,104.78088753106877,18.0,2508.98,1371.6
2027,CAND_DE_koeln__METRO_DE_frankfurt_am_main,DC_HUB_DIRECT,M,152.63,1.832,False,289.1383906350226,49.0,5609.15,3066.3
2027,CAND_DE_koeln__METRO_DE_duesseldorf,DC_HUB_DIRECT,M,34.29,0.411,False,159.42219483643368,27.0,694.37,379.6
2027,CAND_DE_koeln__METRO_DE_stuttgart,DC_HUB_DIRECT,M,287.54,3.45,False,158.4319948685055,27.0,5822.68,3183.1
2027,CAND_DE_koeln__METRO_DE_dortmund,DC_HUB_DIRECT,M,73.98,0.888,False,146.5495952533676,25.0,1387.12,758.3
2027,CAND_DE_koeln__METRO_DE_essen,DC_HUB_DIRECT,M,58.35,0.7,False,143.57899534958312,24.0,1050.3,574.2
2027,CAND_DE_koeln__METRO_DE_bremen,DC_HUB_DIRECT,M,269.97,3.24,False,141.5985954137268,24.0,4859.46,2656.5
2027,CAND_DE_koeln__METRO_DE_hannover,DC_HUB_DIRECT,M,249.78,2.997,False,183.1869940667095,31.0,5807.38,3174.7
2027,CAND_DE_koeln__METRO_DE_duisburg,DC_HUB_DIRECT,M,56.98,0.684,False,131.6965957344452,22.0,940.17,514.0
2027,CAND_DE_koeln__METRO_DE_bochum,DC_HUB_DIRECT,M,63.74,0.765,False,95.05919692110331,16.0,764.88,418.1
2027,CAND_DE_koeln__METRO_DE_bochum_hordel,DC_HUB_DIRECT,M,65.13,0.782,False,94.06899695317514,16.0,781.56,427.3
2027,CAND_DE_koeln__METRO_DE_mannheim,DC_HUB_DIRECT,M,193.49,2.322,False,483.21758434894184,81.0,11754.52,6425.8
2027,CAND_DE_koeln__METRO_DE_wuppertal,DC_HUB_DIRECT,M,38.49,0.462,False,86.14739720974988,15.0,433.01,236.7
2027,CAND_DE_koeln__METRO_DE_bielefeld,DC_HUB_DIRECT,M,164.25,1.971,False,135.65739560615785,23.0,2833.31,1548.9
2027,CAND_DE_koeln__METRO_DE_karlsruhe,DC_HUB_DIRECT,M,237.86,2.854,False,80.20619740218092,14.0,2497.53,1365.3
2027,CAND_DE_koeln__METRO_DE_bonn,DC_HUB_DIRECT,M,24.36,0.292,False,79.21599743425276,14.0,255.78,139.8
2027,CAND_DE_koeln__METRO_DE_wiesbaden,DC_HUB_DIRECT,M,131.87,1.582,False,133.67699567030155,23.0,2274.76,1243.5
2027,CAND_DE_koeln__METRO_DE_muenster,DC_HUB_DIRECT,M,123.64,1.484,False,68.323797787043,12.0,1112.76,608.3
2027,CAND_DE_koeln__METRO_DE_gelsenkirchen,DC_HUB_DIRECT,M,64.4,0.773,False,67.33359781911484,12.0,579.6,316.8
2027,CAND_DE_koeln__METRO_DE_aachen,DC_HUB_DIRECT,M,63.28,0.759,False,66.34339785118668,12.0,569.52,311.3
2027,CAND_DE_koeln__METRO_DE_moenchengladbach,DC_HUB_DIRECT,M,45.25,0.543,False,65.35319788325853,11.0,373.31,204.1
2027,CAND_DE_koeln__METRO_DE_braunschweig,DC_HUB_DIRECT,M,288.02,3.456,False,61.39239801154589,11.0,2376.16,1299.0
2027,CAND_DE_koeln__METRO_DE_krefeld,DC_HUB_DIRECT,M,52.66,0.632,False,59.41199807568957,10.0,394.95,215.9
2027,CAND_DE_koeln__METRO_DE_oberhausen,DC_HUB_DIRECT,M,60.88,0.731,False,54.46099823604877,10.0,456.6,249.6
2027,CAND_DE_koeln__METRO_DE_freiburg,DC_HUB_DIRECT,M,333.06,3.997,False,54.46099823604877,10.0,2497.95,1365.5
2027,CAND_DE_koeln__METRO_DE_erfurt,DC_HUB_DIRECT,M,285.98,3.432,False,260.42259156510596,44.0,9437.34,5159.1
2027,CAND_DE_koeln__METRO_DE_hagen,DC_HUB_DIRECT,M,59.87,0.718,False,159.42219483643368,27.0,1212.37,662.8
2027,CAND_DE_koeln__METRO_DE_kassel,DC_HUB_DIRECT,M,182.99,2.196,False,1302.11295782553,218.0,29918.86,16355.6
2027,CAND_DE_koeln__METRO_DE_hamm,DC_HUB_DIRECT,M,102.78,1.233,False,858.5033721937143,144.0,11100.24,6068.1
2027,CAND_DE_koeln__METRO_DE_mainz,DC_HUB_DIRECT,M,141.38,1.697,False,46.53939849262349,8.0,848.28,463.7
2027,CAND_DE_koeln__METRO_DE_saarbruecken,DC_HUB_DIRECT,M,189.16,2.27,False,44.55899855676718,8.0,1134.96,620.4
2027,CAND_DE_koeln__METRO_DE_herne,DC_HUB_DIRECT,M,70.01,0.84,False,42.57859862091086,8.0,420.06,229.6
2027,CAND_DE_koeln__METRO_DE_muelheim,DC_HUB_DIRECT,M,55.69,0.668,False,42.57859862091086,8.0,334.14,182.7
2027,CAND_DE_koeln__METRO_DE_osnabrueck,DC_HUB_DIRECT,M,167.17,2.006,False,100.0101967607441,17.0,2131.42,1165.2
2027,CAND_DE_koeln__METRO_DE_solingen,DC_HUB_DIRECT,M,28.3,0.34,False,14670.139698685056,2446.0,51916.35,28380.9
2027,CAND_DE_koeln__METRO_NL_amsterdam,DC_HUB_DIRECT,M,214.15,2.57,False,303.4693100343053,51.0,8191.24,4477.9
2027,CAND_DE_koeln__METRO_NL_rotterdam,DC_HUB_DIRECT,M,203.56,2.443,False,261.1247551457976,44.0,6717.48,3672.2
2027,CAND_DE_koeln__METRO_NL_the_hague,DC_HUB_DIRECT,M,223.23,2.679,False,184.50127487135504,31.0,5190.1,2837.3
2027,CAND_DE_koeln__METRO_NL_utrecht,DC_HUB_DIRECT,M,180.45,2.165,False,147.1977384219554,25.0,3383.44,1849.6
2027,CAND_DE_koeln__METRO_NL_eindhoven,DC_HUB_DIRECT,M,117.1,1.405,False,3597.3601466552313,600.0,52695.0,28806.6
2027,CAND_DE_koeln__METRO_NL_tilburg,DC_HUB_DIRECT,M,146.71,1.761,False,50.41018439108061,9.0,990.29,541.4
2027,CAND_DE_koeln__METRO_NL_groningen,DC_HUB_DIRECT,M,255.53,3.066,False,46.37736963979417,8.0,1533.18,838.1
2027,CAND_DE_koeln__METRO_NL_almere_stad,DC_HUB_DIRECT,M,199.67,2.396,False,45.369165951972555,8.0,1198.02,654.9
2027,CAND_DE_koeln__METRO_NL_breda,DC_HUB_DIRECT,M,167.81,2.014,False,42.34455488850772,8.0,1006.86,550.4
2027,CAND_DE_koeln__METRO_LU_luxembourg,DC_HUB_DIRECT,M,158.09,1.897,False,171.65575,29.0,3438.46,1879.7
2027,METRO_DE_kassel__METRO_DE_berlin,HUB_CORRIDOR,M,299.87,3.598,True,888.2093712315591,149.0,33510.47,18319.1
2027,METRO_DE_hamm__METRO_DE_hamburg,HUB_CORRIDOR,M,257.53,3.09,True,443.6095856318155,74.0,14292.92,7813.5
2027,METRO_DE_mannheim__METRO_DE_munich,HUB_CORRIDOR,M,272.73,3.273,True,396.07998717126384,67.0,13704.68,7491.9
2027,METRO_DE_frankfurt_am_main__METRO_DE_nuernberg,HUB_CORRIDOR,M,186.89,2.243,True,124.7651959589481,21.0,2943.52,1609.1
2027,METRO_DE_kassel__METRO_DE_leipzig,HUB_CORRIDOR,M,199.5,2.394,True,151.5005950930084,26.0,3890.25,2126.7
2027,METRO_DE_erfurt__METRO_DE_dresden,HUB_CORRIDOR,M,189.42,2.273,True,148.52999518922394,25.0,3551.62,1941.6
2027,METRO_DE_hannover__METRO_DE_rostock,HUB_CORRIDOR,M,249.32,2.992,True,49.50999839640798,9.0,1682.91,920.0
2027,METRO_DE_hamm__METRO_DE_wandsbek,HUB_CORRIDOR,M,260.9,3.131,True,101.99059669660042,17.0,3326.48,1818.5
2027,METRO_DE_bielefeld__METRO_DE_luebeck,HUB_CORRIDOR,M,249.94,2.999,True,52.48059830019245,9.0,1687.09,922.3
2027,METRO_DE_hamm__METRO_DE_marienthal,HUB_CORRIDOR,M,259.43,3.113,True,71.29439769082748,12.0,2334.87,1276.4
2027,METRO_DE_hamm__METRO_DE_hamburg_nord,HUB_CORRIDOR,M,257.6,3.091,True,70.30419772289932,12.0,2318.4,1267.4
2027,METRO_DE_wiesbaden__METRO_DE_augsburg,HUB_CORRIDOR,M,270.54,3.246,True,65.35319788325853,11.0,2231.96,1220.1
2027,METRO_DE_hamm__METRO_DE_eimsbuettel,HUB_CORRIDOR,M,255.18,3.062,True,62.38259797947405,11.0,2105.23,1150.9
2027,METRO_DE_hamm__METRO_DE_altona,HUB_CORRIDOR,M,252.09,3.025,True,62.38259797947405,11.0,2079.74,1136.9
2027,METRO_DE_erfurt__METRO_DE_chemnitz,HUB_CORRIDOR,M,133.91,1.607,True,61.39239801154589,11.0,1104.76,603.9
2027,METRO_DE_kassel__METRO_DE_halle_saale,HUB_CORRIDOR,M,172.98,2.076,True,58.421798107761404,10.0,1297.35,709.2
2027,METRO_DE_hagen__METRO_DE_hamburg_mitte,HUB_CORRIDOR,M,298.28,3.579,True,58.421798107761404,10.0,2237.1,1222.9
2027,METRO_DE_osnabrueck__METRO_DE_kiel,HUB_CORRIDOR,M,266.61,3.199,True,58.421798107761404,10.0,1999.58,1093.1
2027,METRO_DE_kassel__METRO_DE_magdeburg,HUB_CORRIDOR,M,172.16,2.066,True,57.43159813983325,10.0,1291.2,705.9
2027,METRO_DE_kassel__METRO_DE_neue_neustadt,HUB_CORRIDOR,M,173.68,2.084,True,56.44139817190509,10.0,1302.6,712.1
2027,METRO_DE_hagen__METRO_DE_harburg,HUB_CORRIDOR,M,289.01,3.468,True,51.49039833226429,9.0,1950.82,1066.4
2027,METRO_DE_kassel__METRO_DE_neukoelln,HUB_CORRIDOR,M,298.97,3.588,True,41.5883986529827,7.0,1569.59,858.0
