year,lane_id,lane_type,truck_class,road_km,drive_time_hr,relay_flag,annual_flow,transport_cost_eur,co2_kg
2029,PORT_NL_rotterdam__CAND_DE_koeln,PORT_DC,L,244.27,2.443,False,0.0,0.0,0.0
2029,PORT_NL_rotterdam__CAND_PL_lodz,PORT_DC,L,1234.02,12.34,False,0.0,0.0,0.0
2029,PORT_NL_rotterdam__CAND_ES_madrid,PORT_DC,L,1708.81,17.088,False,0.0,0.0,0.0
2029,CAND_DE_koeln__CAND_PL_lodz,DC_DC,L,1048.32,10.483,False,724.0,145873.73,78645.0
2029,CAND_PL_lodz__CAND_DE_koeln,DC_DC,L,1048.32,10.483,False,427.0,86800.9,46797.0
2029,CAND_DE_koeln__CAND_ES_madrid,DC_DC,L,1715.43,17.154,True,724.0,238702.08,128691.6
2029,CAND_ES_madrid__CAND_DE_koeln,DC_DC,L,1715.43,17.154,True,273.0,90746.25,48924.1
2029,CAND_PL_lodz__CAND_ES_madrid,DC_DC,L,2607.32,26.073,True,427.0,215886.1,116390.8
2029,CAND_ES_madrid__CAND_PL_lodz,DC_DC,L,2607.32,26.073,True,273.0,137927.23,74360.8
2029,CAND_DE_koeln__METRO_BE_brussels,DC_HUB_DIRECT,M,219.21,2.192,False,724.0,19893.31,10875.0
2029,CAND_DE_koeln__METRO_BE_antwerp,DC_HUB_DIRECT,M,216.87,2.169,False,724.0,19680.95,10758.9
2029,CAND_DE_koeln__METRO_BE_liege,DC_HUB_DIRECT,M,123.29,1.233,False,724.0,11188.57,6116.4
2029,CAND_DE_koeln__METRO_BE_gent,DC_HUB_DIRECT,M,271.98,2.72,False,724.0,24682.18,13492.9
2029,CAND_DE_koeln__METRO_BE_charleroi,DC_HUB_DIRECT,M,223.02,2.23,False,724.0,20239.07,11064.0
2029,CAND_DE_koeln__METRO_DE_frankfurt_am_main,DC_HUB_DIRECT,M,183.16,1.832,False,724.0,16621.77,9086.6
2029,CAND_DE_koeln__METRO_DE_duesseldorf,DC_HUB_DIRECT,M,41.15,0.411,False,724.0,3734.36,2041.5
2029,CAND_DE_koeln__METRO_DE_stuttgart,DC_HUB_DIRECT,M,345.04,3.45,False,724.0,31312.38,17117.4
2029,CAND_DE_koeln__METRO_DE_dortmund,DC_HUB_DIRECT,M,88.78,0.888,False,724.0,8056.79,4404.4
2029,CAND_DE_koeln__METRO_DE_essen,DC_HUB_DIRECT,M,70.02,0.7,False,724.0,6354.32,3473.7
2029,CAND_DE_koeln__METRO_DE_bremen,DC_HUB_DIRECT,M,323.96,3.24,False,724.0,29399.37,16071.7
2029,CAND_DE_koeln__METRO_DE_hannover,DC_HUB_DIRECT,M,299.74,2.997,False,724.0,27201.41,14870.1
2029,CAND_DE_koeln__METRO_DE_duisburg,DC_HUB_DIRECT,M,68.38,0.684,False,724.0,6205.48,3392.3
2029,CAND_DE_koeln__METRO_DE_bochum,DC_HUB_DIRECT,M,76.49,0.765,False,724.0,6941.47,3794.7
2029,CAND_DE_koeln__METRO_DE_bochum_hordel,DC_HUB_DIRECT,M,78.15,0.782,False,724.0,7092.11,3877.0
2029,CAND_DE_koeln__METRO_DE_mannheim,DC_HUB_DIRECT,M,232.18,2.322,False,724.0,21070.34,11518.4
2029,CAND_DE_koeln__METRO_DE_wuppertal,DC_HUB_DIRECT,M,46.19,0.462,False,724.0,4191.74,2291.5
2029,CAND_DE_koeln__METRO_DE_bielefeld,DC_HUB_DIRECT,M,197.1,1.971,False,724.0,17886.82,9778.1
2029,CAND_DE_koeln__METRO_DE_karlsruhe,DC_HUB_DIRECT,M,285.44,2.854,False,724.0,25903.68,14160.7
2029,CAND_DE_koeln__METRO_DE_bonn,DC_HUB_DIRECT,M,29.24,0.292,False,724.0,2653.53,1450.6
2029,CAND_DE_koeln__METRO_DE_wiesbaden,DC_HUB_DIRECT,M,158.24,1.582,False,724.0,14360.28,7850.3
2029,CAND_DE_koeln__METRO_DE_muenster,DC_HUB_DIRECT,M,148.37,1.484,False,724.0,13464.58,7360.6
2029,CAND_DE_koeln__METRO_DE_gelsenkirchen,DC_HUB_DIRECT,M,77.27,0.773,False,724.0,7012.25,3833.4
2029,CAND_DE_koeln__METRO_DE_aachen,DC_HUB_DIRECT,M,75.93,0.759,False,724.0,6890.65,3766.9
2029,CAND_DE_koeln__METRO_DE_moenchengladbach,DC_HUB_DIRECT,M,54.3,0.543,False,724.0,4927.72,2693.8
2029,CAND_DE_koeln__METRO_DE_braunschweig,DC_HUB_DIRECT,M,345.63,3.456,False,724.0,31365.92,17146.7
2029,CAND_DE_koeln__METRO_DE_krefeld,DC_HUB_DIRECT,M,63.19,0.632,False,724.0,5734.49,3134.9
2029,CAND_DE_koeln__METRO_DE_oberhausen,DC_HUB_DIRECT,M,73.06,0.731,False,724.0,6630.2,3624.5
2029,CAND_DE_koeln__METRO_DE_freiburg,DC_HUB_DIRECT,M,399.67,3.997,False,724.0,36270.05,19827.6
