year,metric,pi_value,nonpi_value,delta,delta_pct
2027,coverage_pct,100.0,,,
2027,relay_readiness_pct,98.11,,,
2027,mean_travel_elapsed_hr,,2.619,,
2027,mean_detour_ratio,1.2,1.2,0.0,0.0
2028,coverage_pct,99.1,,,
2028,relay_readiness_pct,97.4,,,
2028,mean_travel_elapsed_hr,,5.011,,
2028,mean_detour_ratio,1.2,1.2,0.0,0.0
2029,coverage_pct,96.98,,,
2029,relay_readiness_pct,96.23,,,
2029,mean_travel_elapsed_hr,,7.282,,
2029,mean_detour_ratio,1.2,1.2,0.0,0.0
2030,coverage_pct,97.4,,,
2030,relay_readiness_pct,95.46,,,
2030,mean_travel_elapsed_hr,,6.561,,
2030,mean_detour_ratio,1.2,1.2,0.0,0.0
2031,coverage_pct,97.4,,,
2031,relay_readiness_pct,95.46,,,
2031,mean_travel_elapsed_hr,,6.561,,
2031,mean_detour_ratio,1.2,1.2,0.0,0.0
2032,coverage_pct,97.4,,,
2032,relay_readiness_pct,95.46,,,
2032,mean_travel_elapsed_hr,,6.561,,
2032,mean_detour_ratio,1.2,1.2,0.0,0.0
2033,coverage_pct,97.4,,,
2033,relay_readiness_pct,95.46,,,
2033,mean_travel_elapsed_hr,,6.561,,
2033,mean_detour_ratio,1.2,1.2,0.0,0.0
2034,coverage_pct,97.4,,,
2034,relay_readiness_pct,95.46,,,
2034,mean_travel_elapsed_hr,,6.561,,
2034,mean_detour_ratio,1.2,1.2,0.0,0.0
