node_id,origin_dc,service_mode,pop_bracket,pi_promise_hr,mean_drive_hr,road_km,attainment_rate,p5_elapsed_hr,p50_elapsed_hr,p95_elapsed_hr,promise_gap_hr
METRO_BE_antwerp,CAND_DE_koeln,DIRECT,1M+,4.0,2.169,180.7,0.2,3.774,4.164,4.489,0.164
METRO_BE_brussels,CAND_DE_koeln,DIRECT,1M+,4.0,2.192,182.7,0.2,3.894,4.425,4.726,0.425
METRO_BE_charleroi,CAND_DE_koeln,DIRECT,250K-1M,2.0,2.23,185.8,0.0,3.852,4.55,4.789,2.55
METRO_BE_gent,CAND_DE_koeln,DIRECT,250K-1M,2.0,2.72,226.6,0.0,4.467,4.875,5.405,2.875
METRO_BE_liege,CAND_DE_koeln,DIRECT,250K-1M,2.0,1.233,102.7,0.0,2.82,3.238,3.533,1.238
METRO_DE_aachen,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.759,63.3,0.0,2.479,2.59,2.832,0.59
METRO_DE_altona,CAND_DE_koeln,VIA_HUB_CORRIDOR,250K-1M,2.0,4.258,354.9,0.0,6.932,8.007,8.549,6.007
METRO_DE_augsburg,CAND_DE_koeln,VIA_HUB_CORRIDOR,250K-1M,2.0,4.828,402.4,0.0,7.954,8.948,9.517,6.948
METRO_DE_berlin,CAND_PL_lodz,VIA_RELAY,1M+,4.0,5.103,425.2,0.0,7.113,7.56,8.479,3.56
METRO_DE_bielefeld,CAND_DE_koeln,DIRECT,250K-1M,2.0,1.971,164.2,0.0,3.87,4.324,4.599,2.324
METRO_DE_bochum,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.765,63.7,0.0,2.682,2.843,3.194,0.843
METRO_DE_bochum_hordel,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.782,65.1,0.0,2.345,2.615,2.772,0.615
METRO_DE_bonn,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.292,24.4,0.2,1.89,2.111,2.568,0.111
METRO_DE_braunschweig,CAND_DE_koeln,DIRECT,<250K,1.0,3.456,288.0,0.0,4.556,5.458,5.56,4.458
METRO_DE_bremen,CAND_DE_koeln,DIRECT,250K-1M,2.0,3.24,270.0,0.0,4.787,4.943,5.007,2.943
METRO_DE_chemnitz,CAND_DE_koeln,VIA_RELAY,<250K,1.0,5.034,419.5,0.0,8.135,8.471,8.951,7.471
METRO_DE_dortmund,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.888,74.0,0.0,2.519,2.781,3.139,0.781
METRO_DE_dresden,CAND_PL_lodz,VIA_RELAY,250K-1M,2.0,4.868,405.6,0.0,7.733,8.142,8.978,6.142
METRO_DE_duesseldorf,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.411,34.3,0.0,2.13,2.55,2.849,0.55
METRO_DE_duisburg,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.684,57.0,0.0,2.391,2.891,3.067,0.891
METRO_DE_eimsbuettel,CAND_DE_koeln,VIA_HUB_CORRIDOR,250K-1M,2.0,4.295,358.0,0.0,7.551,7.793,8.853,5.793
METRO_DE_erfurt,CAND_DE_koeln,DIRECT,<250K,1.0,3.432,286.0,0.0,4.934,5.595,5.941,4.595
METRO_DE_essen,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.7,58.4,0.0,2.432,2.74,2.912,0.74
METRO_DE_frankfurt_am_main,CAND_DE_koeln,DIRECT,250K-1M,2.0,1.832,152.6,0.0,3.539,3.777,4.356,1.777
METRO_DE_freiburg,CAND_DE_koeln,DIRECT,<250K,1.0,3.997,333.1,0.0,5.378,5.997,7.019,4.997
METRO_DE_gelsenkirchen,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.773,64.4,0.0,2.612,2.692,3.102,0.692
METRO_DE_hagen,CAND_DE_koeln,DIRECT,<250K,1.0,0.718,59.9,0.0,2.516,2.983,3.16,1.983
METRO_DE_halle_saale,CAND_DE_koeln,VIA_RELAY,<250K,1.0,4.267,355.6,0.0,6.344,6.932,7.316,5.932
METRO_DE_hamburg,CAND_DE_koeln,VIA_HUB_CORRIDOR,1M+,4.0,4.323,360.3,0.0,7.077,8.597,8.888,4.597
