node_id,pop_bracket,pi_promise_hr,drive_time_hr,mean_drive_hr,road_km,attainment_rate,p5_elapsed_hr,p50_elapsed_hr,p95_elapsed_hr,nonpi_otd_est_hr,otd_saving_hr
METRO_BE_brussels,1M+,4.0,2.192,2.192,219.2,0.996,2.799,3.199,3.653,10.192,6.993
METRO_BE_antwerp,1M+,4.0,2.169,2.169,216.9,0.995,2.784,3.176,3.653,10.169,6.993
METRO_BE_liege,250K-1M,2.0,1.233,1.233,123.3,0.11,1.93,2.255,2.575,9.233,6.978
METRO_BE_gent,250K-1M,2.0,2.72,2.72,272.0,0.0,3.258,3.727,4.325,10.72,6.993
METRO_BE_charleroi,250K-1M,2.0,2.23,2.23,223.0,0.0,2.829,3.22,3.685,10.23,7.01
METRO_DE_frankfurt_am_main,250K-1M,2.0,1.832,1.832,183.2,0.0,2.478,2.829,3.262,9.832,7.003
METRO_DE_duesseldorf,250K-1M,2.0,0.411,0.411,41.2,1.0,1.177,1.425,1.655,8.411,6.986
METRO_DE_stuttgart,250K-1M,2.0,3.45,3.45,345.0,0.0,3.893,4.454,5.2,11.45,6.996
METRO_DE_dortmund,250K-1M,2.0,0.888,0.888,88.8,0.709,1.626,1.891,2.177,8.888,6.997
METRO_DE_essen,250K-1M,2.0,0.7,0.7,70.0,0.971,1.448,1.71,1.964,8.7,6.99
METRO_DE_bremen,250K-1M,2.0,3.24,3.24,324.0,0.0,3.721,4.233,4.922,11.24,7.007
METRO_DE_hannover,250K-1M,2.0,2.997,2.997,299.7,0.0,3.489,3.993,4.62,10.997,7.004
METRO_DE_duisburg,250K-1M,2.0,0.684,0.684,68.4,0.981,1.438,1.691,1.946,8.684,6.993
METRO_DE_bochum,250K-1M,2.0,0.765,0.765,76.5,0.92,1.507,1.771,2.048,8.765,6.994
METRO_DE_bochum_hordel,250K-1M,2.0,0.782,0.782,78.2,0.885,1.516,1.785,2.056,8.782,6.997
METRO_DE_mannheim,250K-1M,2.0,2.322,2.322,232.2,0.0,2.893,3.331,3.842,10.322,6.991
METRO_DE_wuppertal,250K-1M,2.0,0.462,0.462,46.2,1.0,1.223,1.458,1.695,8.462,7.004
METRO_DE_bielefeld,250K-1M,2.0,1.971,1.971,197.1,0.0,2.612,2.979,3.409,9.971,6.992
METRO_DE_karlsruhe,250K-1M,2.0,2.854,2.854,285.4,0.0,3.395,3.875,4.494,10.854,6.979
METRO_DE_bonn,250K-1M,2.0,0.292,0.292,29.2,1.0,1.067,1.29,1.524,8.292,7.002
METRO_DE_wiesbaden,250K-1M,2.0,1.582,1.582,158.2,0.001,2.282,2.611,2.977,9.582,6.971
METRO_DE_muenster,250K-1M,2.0,1.484,1.484,148.4,0.0,2.18,2.497,2.833,9.484,6.987
METRO_DE_gelsenkirchen,250K-1M,2.0,0.773,0.773,77.3,0.916,1.511,1.77,2.04,8.773,7.003
METRO_DE_aachen,250K-1M,2.0,0.759,0.759,75.9,0.917,1.5,1.763,2.043,8.759,6.996
METRO_DE_moenchengladbach,250K-1M,2.0,0.543,0.543,54.3,0.999,1.306,1.545,1.806,8.543,6.998
METRO_DE_braunschweig,<250K,1.0,3.456,3.456,345.6,0.0,3.895,4.47,5.192,11.456,6.986
METRO_DE_krefeld,<250K,1.0,0.632,0.632,63.2,0.0,1.384,1.645,1.879,8.632,6.987
METRO_DE_oberhausen,<250K,1.0,0.731,0.731,73.1,0.0,1.48,1.744,1.992,8.731,6.987
METRO_DE_freiburg,<250K,1.0,3.997,3.997,399.7,0.0,4.369,5.034,5.796,11.997,6.963
METRO_DE_erfurt,<250K,1.0,3.432,3.432,343.2,0.0,3.881,4.399,5.11,11.432,7.033
METRO_DE_hagen,<250K,1.0,0.718,0.718,71.8,0.0,1.469,1.723,1.983,8.718,6.995
METRO_DE_kassel,<250K,1.0,2.196,2.196,219.6,0.0,2.812,3.209,3.679,10.196,6.987
METRO_DE_hamm,<250K,1.0,1.233,1.233,123.3,0.0,1.963,2.242,2.571,9.233,6.991
METRO_DE_mainz,<250K,1.0,1.697,1.697,169.7,0.0,2.352,2.708,3.112,9.697,6.989
METRO_DE_saarbruecken,<250K,1.0,2.27,2.27,227.0,0.0,2.872,3.279,3.753,10.27,6.991
METRO_DE_herne,<250K,1.0,0.84,0.84,84.0,0.0,1.588,1.869,2.131,8.84,6.971
METRO_DE_muelheim,<250K,1.0,0.668,0.668,66.8,0.0,1.425,1.683,1.931,8.668,6.985
METRO_DE_osnabrueck,<250K,1.0,2.006,2.006,200.6,0.0,2.627,2.999,3.448,10.006,7.007
METRO_DE_solingen,<250K,1.0,0.34,0.34,34.0,0.0,1.112,1.354,1.577,8.34,6.986
METRO_NL_amsterdam,1M+,4.0,2.57,2.57,257.0,0.898,3.146,3.549,4.147,10.57,7.021
METRO_NL_rotterdam,1M+,4.0,2.443,2.443,244.3,0.963,3.02,3.439,3.941,10.443,7.004
METRO_NL_the_hague,250K-1M,2.0,2.679,2.679,267.9,0.0,3.193,3.677,4.224,10.679,7.002
