year,dc_id,mean,p10,p50,p90,p99
2027,CAND_DE_koeln,28300.0,23218.0,28141.0,33899.0,38704.0
2028,CAND_DE_koeln,50457.0,41396.0,50174.0,60439.0,69006.0
2028,CAND_PL_lodz,18000.0,14620.0,17896.0,21544.0,25385.0
2029,CAND_DE_koeln,95158.0,78069.0,94625.0,113983.0,130140.0
2029,CAND_ES_madrid,15893.0,12909.0,15802.0,19023.0,22414.0
2029,CAND_PL_lodz,34765.0,28318.0,34383.0,41656.0,49345.0
2030,CAND_DE_koeln,102392.0,84004.0,101818.0,122648.0,140033.0
2030,CAND_ES_madrid,27052.0,21972.0,26896.0,32379.0,38151.0
2030,CAND_IT_rome,34125.0,27797.0,33750.0,40890.0,48437.0
2030,CAND_PL_lodz,53144.0,43379.0,52524.0,63205.0,75755.0
2031,CAND_DE_koeln,115831.0,95030.0,115182.0,138746.0,158413.0
2031,CAND_ES_madrid,33136.0,26913.0,32944.0,39660.0,46730.0
2031,CAND_IT_rome,45056.0,36700.0,44561.0,53988.0,63952.0
2031,CAND_PL_lodz,66009.0,53881.0,65239.0,78506.0,94094.0
2032,CAND_DE_koeln,125536.0,102992.0,124832.0,150370.0,171685.0
2032,CAND_ES_madrid,36221.0,29419.0,36012.0,43352.0,51081.0
2032,CAND_IT_rome,50494.0,41130.0,49940.0,60504.0,71671.0
2032,CAND_PL_lodz,74012.0,60413.0,73149.0,88024.0,105501.0
2033,CAND_DE_koeln,135266.0,110975.0,134507.0,162025.0,184992.0
2033,CAND_ES_madrid,39324.0,31939.0,39097.0,47066.0,55457.0
2033,CAND_IT_rome,54746.0,44593.0,54145.0,65598.0,77706.0
2033,CAND_PL_lodz,79836.0,65167.0,78905.0,94950.0,113803.0
2034,CAND_DE_koeln,145023.0,118980.0,144210.0,173713.0,198336.0
2034,CAND_ES_madrid,42443.0,34473.0,42197.0,50799.0,59855.0
2034,CAND_IT_rome,58997.0,48056.0,58349.0,70692.0,83740.0
2034,CAND_PL_lodz,85622.0,69890.0,84623.0,101832.0,122051.0
