year,pop_bracket,n_hubs,pi_promise_hr,mean_attainment,mean_p50_elapsed,mean_promise_gap_hr
2027,1M+,7,4.0,0.1143,6.432428571428572,2.4324285714285714
2027,250K-1M,35,2.0,0.0229,4.840914285714286,2.8409142857142857
2027,<250K,29,1.0,0.0,5.565896551724138,4.565896551724138
2028,1M+,12,4.0,0.1333,8.378666666666666,4.378666666666667
2028,250K-1M,53,2.0,0.0038,6.004094339622641,4.004094339622641
2028,<250K,45,1.0,0.0,5.6704,4.6704
2029,1M+,26,4.0,0.0615,11.336846153846153,7.336846153846153
2029,250K-1M,112,2.0,0.0054,9.445401785714285,7.445401785714286
2029,<250K,88,1.0,0.0,7.249431818181819,6.249431818181819
2030,1M+,31,4.0,0.0581,10.650548387096773,6.650548387096774
2030,250K-1M,127,2.0,0.0016,7.893590551181102,5.893590551181102
2030,<250K,104,1.0,0.0,7.44675,6.44675
