year,dc_id,old_realized_units,pi_realized_units,p95_peak_daily_units,dc_total_cost_eur,old_demand_share_pct,pi_demand_share_pct,unit_delta,unit_delta_pct_vs_old
2027,CAND_DE_koeln,8574.081749414932,28602.0,1238.0,759198.0,100.0,100.0,20027.91825058507,233.5867424164892
2028,CAND_DE_koeln,13547.066367032974,51931.0,2247.0,888968.0,77.02739494695182,74.93975208161969,38383.933632967026,283.3376067779147
2028,CAND_PL_lodz,4040.269121026485,17366.0,751.0,696774.0,22.97260505304819,25.060247918380306,13325.730878973514,329.8228528793629
2029,CAND_DE_koeln,27452.70536923006,101358.0,4386.0,1163941.0,59.0543584599591,69.0172205993504,73905.29463076993,269.20951373195277
2029,CAND_ES_madrid,9129.889163272754,13095.0,567.0,672921.0,19.639585246556944,8.916716033746654,3965.1108367272464,43.42999970555929
2029,CAND_PL_lodz,9904.5845431008,32406.0,1402.0,780416.0,21.306056293483955,22.066063366902945,22501.4154568992,227.18182028718138
2030,CAND_DE_koeln,27162.94177290108,109711.0,4747.0,1210527.0,37.00523928889062,50.21879834848443,82548.05822709893,303.8995515185782
2030,CAND_ES_madrid,14781.480004832558,22305.0,965.0,724156.0,20.137443477071542,10.209826700722308,7523.519995167442,50.898286184521126
2030,CAND_IT_rome,15751.09284759475,34545.0,1495.0,792268.0,21.4583885928098,15.812529180742082,18793.90715240525,119.31811547460434
2030,CAND_PL_lodz,15707.447481866237,51905.0,2246.0,888845.0,21.398928641228043,23.758845770051177,36197.552518133765,230.44834343659417
2031,CAND_DE_koeln,30905.80943035672,124139.0,5371.0,1290767.0,34.82215001541589,47.33468569118959,93233.19056964328,301.668819837045
2031,CAND_ES_madrid,18036.209528033694,27222.0,1178.0,751609.0,20.321732563255946,10.379854951993838,9185.790471966306,50.929717010044854
2031,CAND_IT_rome,20371.860433072314,45759.0,1980.0,854651.0,22.953353857050935,17.448085473083758,25387.139566927686,124.61866038368008
2031,CAND_PL_lodz,19439.426813566548,65138.0,2818.0,962498.0,21.902763564277222,24.837373883732813,45698.57318643345,235.08189631672144
2032,CAND_DE_koeln,33526.64527459889,134273.0,5810.0,1347170.0,34.37452510191207,46.482798252476925,100746.3547254011,300.4963780307913
2032,CAND_ES_madrid,19641.46361138865,29653.0,1283.0,765045.0,20.13819093494284,10.265313328671425,10011.536388611348,50.97143770287256
2032,CAND_IT_rome,22763.87106608603,51544.0,2230.0,886852.0,23.339563233029907,17.84356760574107,28780.12893391397,126.42897532832653
2032,CAND_PL_lodz,21601.426473762356,73396.0,3176.0,1008484.0,22.147720730115182,25.40832081311058,51794.57352623764,239.77385747718398
2033,CAND_DE_koeln,36065.11207770012,144385.0,6247.0,1403479.0,34.19041036415234,46.259451493015504,108319.88792229988,300.34535228652885
2033,CAND_ES_madrid,21240.7332130434,32075.0,1388.0,778600.0,20.13661799871345,10.276496219402793,10834.2667869566,51.00702823339238
2033,CAND_IT_rome,24833.891058008037,56254.0,2434.0,913047.0,23.542999793890957,18.02319620658721,31420.108941991963,126.52108712484711
2033,CAND_PL_lodz,23343.38506915733,79406.0,3436.0,1041863.0,22.129971843243254,25.44085608099449,56062.61493084267,240.16488938836864
2034,CAND_DE_koeln,38603.80607318613,154483.0,6684.0,1459611.0,34.02763209608153,46.05768428082478,115879.19392681387,300.1755674223598
2034,CAND_ES_madrid,22835.090594624096,34492.0,1492.0,791976.0,20.12817234035052,10.283472266943342,11656.909405375904,51.04822929023197
2034,CAND_IT_rome,26925.677870191743,61016.0,2640.0,939637.0,23.733853049813273,18.191358687226455,34090.32212980826,126.60896521958387
2034,CAND_PL_lodz,25083.831052440422,85421.0,3696.0,1075415.0,22.110342513754677,25.467484765005427,60337.16894755958,240.54207996146323
