year,metric_key,metric_label,better_direction,old_value,pi_value,absolute_gap,advantage_pct,pi_outperforms
2027,realized_units,Realized units,higher,8574.081677,28602.0,20027.918322999998,233.58674523389428,True
2028,realized_units,Realized units,higher,17587.335334,69298.0,51710.664666,294.0221681338643,True
2029,realized_units,Realized units,higher,46487.178378,146859.0,100371.821622,215.91291432198614,True
2030,realized_units,Realized units,higher,73402.961979,218466.0,145063.038021,197.62559181535667,True
2031,realized_units,Realized units,higher,88753.306446,262259.0,173505.693554,195.49208981815872,True
2032,realized_units,Realized units,higher,97533.407283,288866.0,191332.592717,196.17134072004183,True
2033,realized_units,Realized units,higher,105483.122916,312120.0,206636.877084,195.895676361945,True
2034,realized_units,Realized units,higher,113448.404723,335411.0,221962.595277,195.65069761796337,True
2027,revenue_eur,Revenue (EUR),higher,4149896.0,12973872.0,8823976.0,212.63125630136273,True
2028,revenue_eur,Revenue (EUR),higher,8093164.0,31433412.0,23340248.0,288.3946006778066,True
2029,revenue_eur,Revenue (EUR),higher,21671620.0,66615143.0,44943523.0,207.38423338910522,True
2030,revenue_eur,Revenue (EUR),higher,34292720.0,99096140.0,64803420.0,188.97136185172832,True
2031,revenue_eur,Revenue (EUR),higher,41887830.0,118960731.0,77072901.0,183.998314068788,True
2032,revenue_eur,Revenue (EUR),higher,45073420.0,131029494.0,85956074.0,190.70235628891706,True
2033,revenue_eur,Revenue (EUR),higher,50042540.0,141577750.0,91535210.0,182.91479609148539,True
2034,revenue_eur,Revenue (EUR),higher,53474170.0,152142403.0,98668233.0,184.51568860255335,True
2027,transport_cost_per_unit_eur,Transport cost per unit (EUR),lower,662.1007606246995,26.628,-635.4727606246995,95.97825563968901,True
2028,transport_cost_per_unit_eur,Transport cost per unit (EUR),lower,660.4919039408588,43.669,-616.8229039408589,93.38841252414349,True
2029,transport_cost_per_unit_eur,Transport cost per unit (EUR),lower,405.61450399673043,72.307,-333.3075039967304,82.17346784014833,True
2030,transport_cost_per_unit_eur,Transport cost per unit (EUR),lower,354.0542615628391,69.261,-284.7932615628391,80.43774428973869,True
2031,transport_cost_per_unit_eur,Transport cost per unit (EUR),lower,301.6909946480846,71.968,-229.72299464808458,76.14512820180497,True
2032,transport_cost_per_unit_eur,Transport cost per unit (EUR),lower,299.191107056569,72.598,-226.593107056569,75.73524135987316,True
2033,transport_cost_per_unit_eur,Transport cost per unit (EUR),lower,271.6369596188151,72.601,-199.03595961881513,73.27278287097599,True
2034,transport_cost_per_unit_eur,Transport cost per unit (EUR),lower,265.77452520041635,72.614,-193.16052520041634,72.67834456848603,True
2027,network_scope_cost_per_unit_eur,Network-scope cost per unit (EUR),lower,1432.6314657055955,78.31843926998113,-1354.3130264356143,94.53324590833219,True
2028,network_scope_cost_per_unit_eur,Network-scope cost per unit (EUR),lower,1444.5247399636578,91.81301047649283,-1352.711729487165,93.6440679805316,True
2029,network_scope_cost_per_unit_eur,Network-scope cost per unit (EUR),lower,1040.812912037223,114.74553142810451,-926.0673806091185,88.97539316614466,True
2030,network_scope_cost_per_unit_eur,Network-scope cost per unit (EUR),lower,1084.475930586752,110.28551811265827,-974.1904124740937,89.83052412670988,True
2031,network_scope_cost_per_unit_eur,Network-scope cost per unit (EUR),lower,882.4677799204388,111.15831677845183,-771.309463141987,87.40369684789245,True
2032,network_scope_cost_per_unit_eur,Network-scope cost per unit (EUR),lower,845.5617249247331,110.95818822568249,-734.6035366990506,86.87757676879717,True
2033,network_scope_cost_per_unit_eur,Network-scope cost per unit (EUR),lower,847.3085108712028,110.34096180956043,-736.9675490616423,86.97747509981839,True
2034,network_scope_cost_per_unit_eur,Network-scope cost per unit (EUR),lower,827.80234882369,109.8174866059849,-717.9848622177051,86.73385177487887,True
2027,shipping_intensity,Shipping units per 1000 sold units,lower,216.932852994561,5.489126634501084,-211.4437263600599,97.46966558604255,True
2028,shipping_intensity,Shipping units per 1000 sold units,lower,216.40572194255066,5.469133308320586,-210.93658863423008,97.47274089648495,True
2029,shipping_intensity,Shipping units per 1000 sold units,lower,132.89685921061906,5.467829686978666,-127.4290295236404,95.88565921011491,True
2030,shipping_intensity,Shipping units per 1000 sold units,lower,116.0034931892268,5.465381340803603,-110.5381118484232,95.2886062388756,True
2031,shipping_intensity,Shipping units per 1000 sold units,lower,98.84702160744555,5.467877174853866,-93.37914443259169,94.46834402702731,True
2032,shipping_intensity,Shipping units per 1000 sold units,lower,98.02795028228728,5.466202322183989,-92.56174796010329,94.42383289006536,True
2033,shipping_intensity,Shipping units per 1000 sold units,lower,89.00001953370305,5.465846469306677,-83.53417306439637,93.85860082060225,True
2034,shipping_intensity,Shipping units per 1000 sold units,lower,87.07923239750218,5.464937047383657,-81.61429535011852,93.72417866244258,True
