year,cluster,annual_demand_mean,annual_demand_p99,daily_production_mean,daily_production_99robust,robustness_buffer_pct
2027,Cluster_1,16328.199571436711,16949.4729520972,46.124857546431386,47.87986709631977,3.8049105043234333
2027,Cluster_2,11830.300706063295,12499.006659137549,33.4189285482014,35.30792841564279,5.652484832710347
2028,Cluster_1,39396.48278127907,41414.61727497993,111.28949938214426,116.99044427960432,5.12262606006002
2028,Cluster_2,28465.115537470934,30399.312622669237,80.40993089681055,85.87376447081705,6.7949735972515635
2029,Cluster_1,82676.60978908422,85862.97668593912,233.5497451669046,242.55078159869808,3.8540125254090896
2029,Cluster_2,59594.51999616581,63574.92637742813,168.3461016840842,179.5901875068591,6.679148320212014
2030,Cluster_1,123349.85577350648,127620.77728972558,348.4459202641426,360.51067030995927,3.4624454884335742
2030,Cluster_2,88761.80575599354,93995.75033012271,250.73956428246763,265.52471844667434,5.896617953579386
2031,Cluster_1,147168.23545321604,153651.58372900425,415.72947868140125,434.04402183334537,4.40539920576084
2031,Cluster_2,107062.581331034,113067.66723693546,302.4366704266497,319.40018993484597,5.608949299787502
2032,Cluster_1,162477.0508434256,168892.1303839539,458.9747198966825,477.09641351399404,3.9482988565014754
2032,Cluster_2,117427.0682500745,125141.44375282688,331.71488206235733,353.5069032565731,6.56950362272839
2033,Cluster_1,175782.88758410566,182986.93038061986,496.5618293336318,516.9122327136154,4.098261722471319
2033,Cluster_2,126654.0892141444,133825.75455601167,357.7799130343062,378.0388546779991,5.662403311543729
2034,Cluster_1,188593.7375523316,197552.65055924928,532.7506710517841,558.0583349131335,4.750376721513216
2034,Cluster_2,136414.62472016847,144598.85619973484,385.35204723211433,408.4713451969911,5.999526441065206
