year,cluster,critical_date,critical_day_of_year,max_autonomy_required,days_jan1_to_critical,workdays_jan1_to_critical,cumulative_production_jan1_to_critical,cumulative_demand_p99_jan1_to_critical,net_accumulation_jan1_to_critical,required_inventory_jan1,daily_production_rate,workdays_needed_for_prior,prior_start_days,production_start_date
2027,Cluster_1,2027-11-26,330,8969.694274909418,329,319,15273.677603726006,14221.046245074103,1052.6313586519027,7917.062916257515,47.87986709631977,165.35265021372732,171,2026-07-14
2027,Cluster_2,2027-11-26,330,6472.294416242059,329,319,11263.229164590051,10144.622610566988,1118.606554023063,5353.687862218996,35.30792841564279,151.62848976002522,157,2026-07-28
2028,Cluster_1,2028-11-24,329,20664.90080153644,328,318,37202.961280914176,33536.82494477237,3666.1363361418043,16998.764465394637,116.99044427960432,145.3004522725634,150,2027-08-04
2028,Cluster_2,2028-11-24,329,14654.961011926885,328,318,27307.857101719823,24773.28360614784,2534.5734955719818,12120.387516354904,85.87376447081705,141.14191442572476,146,2027-08-08
2029,Cluster_1,2029-11-23,327,34875.891036618894,326,316,76646.04698518859,71055.87126046923,5590.17572471936,29285.715311899534,242.55078159869808,120.74055222115486,125,2028-08-29
2029,Cluster_2,2029-11-23,327,25493.2606257027,326,316,56750.49925216748,53579.18255225457,3171.31669991291,22321.94392578979,179.5901875068591,124.29378372878666,129,2028-08-25
2030,Cluster_1,2030-10-09,282,53081.09552527686,281,272,98058.90232430892,86708.62422612241,11350.278098186507,41730.817427090355,360.51067030995927,115.75473588953997,120,2029-09-03
2030,Cluster_2,2030-11-22,326,37710.93142783597,325,315,83640.28631070242,76069.56233830428,7570.723972398133,30140.207455437834,265.52471844667434,113.51187050214659,118,2029-09-05
2031,Cluster_1,2031-10-09,282,61885.05849207882,281,272,118059.97393866994,102676.4557553572,15383.518183312743,46501.540308766074,434.04402183334537,107.13553918413535,111,2030-09-12
2031,Cluster_2,2031-10-09,282,45310.93854782028,281,272,86876.8516622781,77271.78842013887,9605.063242139237,35705.875305681046,319.40018993484597,111.7904009793001,116,2030-09-07
2032,Cluster_1,2032-11-08,313,66887.37402816064,312,302,144083.1168812262,122476.3330282088,21606.78385301739,45280.590175143254,477.09641351399404,94.90867860782001,98,2031-09-25
2032,Cluster_2,2032-11-26,331,49451.48141604308,330,320,113122.20904210338,101438.33908589376,11683.869956209615,37767.61145983347,353.5069032565731,106.83698426229027,111,2031-09-12
2033,Cluster_1,2033-11-07,311,70978.65886657864,310,300,155073.6698140846,132563.47524843627,22510.19456564833,48468.46430093031,516.9122327136154,93.76536524679862,97,2032-09-26
2033,Cluster_2,2033-09-06,249,51799.33218415046,248,240,90729.32512271978,80644.2744960752,10085.050626644574,41714.281557505885,378.0388546779991,110.34389994921744,114,2032-09-09
2034,Cluster_1,2034-10-09,282,78961.49921713366,281,272,151791.86709637233,131799.0743821335,19992.792714238836,58968.70650289483,558.0583349131335,105.66763869242057,109,2033-09-14
2034,Cluster_2,2034-10-09,282,59142.31016703601,281,272,111104.20589358157,97111.41098282834,13992.794910753233,45149.51525628278,408.4713451969911,110.53288262976876,114,2033-09-09
