year,dc_id,mean,p10,p50,p90,p99
2027,CAND_DE_koeln,28602.0,28602.0,28602.0,28602.0,28602.0
2028,CAND_DE_koeln,51931.0,51931.0,51931.0,51931.0,51931.0
2028,CAND_PL_lodz,17366.0,17366.0,17366.0,17366.0,17366.0
2029,CAND_DE_koeln,101358.0,101358.0,101358.0,101358.0,101358.0
2029,CAND_ES_madrid,13095.0,13095.0,13095.0,13095.0,13095.0
2029,CAND_PL_lodz,32406.0,32406.0,32406.0,32406.0,32406.0
2030,CAND_DE_koeln,109711.0,109711.0,109711.0,109711.0,109711.0
2030,CAND_ES_madrid,22305.0,22305.0,22305.0,22305.0,22305.0
2030,CAND_IT_rome,34545.0,34545.0,34545.0,34545.0,34545.0
2030,CAND_PL_lodz,51905.0,51905.0,51905.0,51905.0,51905.0
2031,CAND_DE_koeln,124139.0,124139.0,124139.0,124139.0,124139.0
2031,CAND_ES_madrid,27222.0,27222.0,27222.0,27222.0,27222.0
2031,CAND_IT_rome,45759.0,45759.0,45759.0,45759.0,45759.0
2031,CAND_PL_lodz,65138.0,65138.0,65138.0,65138.0,65138.0
2032,CAND_DE_koeln,134273.0,134273.0,134273.0,134273.0,134273.0
2032,CAND_ES_madrid,29653.0,29653.0,29653.0,29653.0,29653.0
2032,CAND_IT_rome,51544.0,51544.0,51544.0,51544.0,51544.0
2032,CAND_PL_lodz,73396.0,73396.0,73396.0,73396.0,73396.0
2033,CAND_DE_koeln,144385.0,144385.0,144385.0,144385.0,144385.0
2033,CAND_ES_madrid,32075.0,32075.0,32075.0,32075.0,32075.0
2033,CAND_IT_rome,56254.0,56254.0,56254.0,56254.0,56254.0
2033,CAND_PL_lodz,79406.0,79406.0,79406.0,79406.0,79406.0
2034,CAND_DE_koeln,154483.0,154483.0,154483.0,154483.0,154483.0
2034,CAND_ES_madrid,34492.0,34492.0,34492.0,34492.0,34492.0
2034,CAND_IT_rome,61016.0,61016.0,61016.0,61016.0,61016.0
2034,CAND_PL_lodz,85421.0,85421.0,85421.0,85421.0,85421.0
