year,service_class,node_type,n_nodes,route_backed_pct,mean_travel_elapsed_hr,mean_last_mile_hr,mean_otd_hr,p50_otd_hr,p95_otd_hr,mean_purchase_prob,annual_realized_units
2027,METRO_1M+,metro,7,100.0,6.441,4.0,10.441,8.57,13.734,1.0,3098.807
2027,METRO_250K-1M,metro,35,100.0,4.857,2.0,6.857,6.165,10.661,1.0,3803.159
2027,METRO_<250K,metro,29,100.0,5.574,1.0,6.574,5.396,10.552,1.0,1432.487
2027,METRO_UNKNOWN,metro,1,100.0,0.0,1.0,1.0,1.0,1.0,1.0,239.628
2027,NONMETRO_<=250KM,non_metro,4,100.0,3.219,8.0,11.219,11.319,11.823,1.0,20027.928
2028,METRO_1M+,metro,12,100.0,8.408,4.0,12.408,12.213,19.101,1.0,7422.155
2028,METRO_250K-1M,metro,53,100.0,6.02,2.0,8.02,6.679,15.277,1.0,8812.886
2028,METRO_<250K,metro,46,97.83,6.018,1.0,7.018,5.233,14.933,0.999,3443.43
2028,METRO_UNKNOWN,metro,2,100.0,0.0,1.0,1.0,1.0,1.0,1.0,589.422
2028,NONMETRO_<=250KM,non_metro,9,100.0,6.688,8.0,14.688,11.897,20.847,1.0,45291.038
2028,NONMETRO_<=500KM,non_metro,2,100.0,16.02,16.0,32.02,32.02,34.454,0.98,2707.289
2028,NONMETRO_>500KM,non_metro,1,100.0,15.322,32.0,47.322,47.322,47.322,0.98,1031.425
2029,METRO_1M+,metro,27,96.3,11.702,4.0,15.702,13.65,32.113,0.993,20089.11
2029,METRO_250K-1M,metro,112,99.11,9.642,2.0,11.642,10.256,25.567,0.996,19350.269
2029,METRO_<250K,metro,91,95.6,8.181,1.0,9.181,8.211,26.777,0.996,6948.105
2029,METRO_UNKNOWN,metro,6,100.0,0.0,1.0,1.0,1.0,1.0,1.0,3755.598
2029,NONMETRO_<=250KM,non_metro,15,100.0,8.82,8.0,16.82,16.417,26.709,0.999,89192.157
2029,NONMETRO_<=500KM,non_metro,2,100.0,16.02,16.0,32.02,32.02,34.454,0.98,4832.269
2029,NONMETRO_>500KM,non_metro,2,50.0,20.458,32.0,52.458,52.458,57.08,0.955,2691.273
2030,METRO_1M+,metro,32,96.88,10.996,4.0,14.996,12.92,30.736,0.995,31764.576
2030,METRO_250K-1M,metro,127,99.21,8.029,2.0,10.029,9.826,19.797,0.999,28386.213
2030,METRO_<250K,metro,108,95.37,8.612,1.0,9.612,9.054,23.889,0.996,10117.832
2030,METRO_UNKNOWN,metro,6,100.0,0.0,1.0,1.0,1.0,1.0,1.0,6233.835
2030,NONMETRO_<=250KM,non_metro,23,100.0,8.442,8.0,16.442,16.38,21.951,0.999,130773.67
2030,NONMETRO_<=500KM,non_metro,3,100.0,15.866,16.0,31.866,31.556,34.407,0.98,7185.111
2030,NONMETRO_>500KM,non_metro,3,33.33,30.057,32.0,62.057,57.593,78.89,0.92,4004.68
2031,METRO_1M+,metro,32,96.88,10.996,4.0,14.996,12.92,30.736,0.995,38581.135
2031,METRO_250K-1M,metro,127,99.21,8.029,2.0,10.029,9.826,19.797,0.999,33714.802
2031,METRO_<250K,metro,108,95.37,8.612,1.0,9.612,9.054,23.889,0.996,12067.538
2031,METRO_UNKNOWN,metro,6,100.0,0.0,1.0,1.0,1.0,1.0,1.0,7507.833
2031,NONMETRO_<=250KM,non_metro,23,100.0,8.442,8.0,16.442,16.38,21.951,0.999,156963.011
2031,NONMETRO_<=500KM,non_metro,3,100.0,15.866,16.0,31.866,31.556,34.407,0.98,8708.376
2031,NONMETRO_>500KM,non_metro,3,33.33,30.057,32.0,62.057,57.593,78.89,0.92,4716.413
2032,METRO_1M+,metro,32,96.88,10.996,4.0,14.996,12.92,30.736,0.995,42470.83
2032,METRO_250K-1M,metro,127,99.21,8.029,2.0,10.029,9.826,19.797,0.999,36991.065
2032,METRO_<250K,metro,108,95.37,8.612,1.0,9.612,9.054,23.889,0.996,13268.879
2032,METRO_UNKNOWN,metro,6,100.0,0.0,1.0,1.0,1.0,1.0,1.0,8194.114
2032,NONMETRO_<=250KM,non_metro,23,100.0,8.442,8.0,16.442,16.38,21.951,0.999,173103.31
2032,NONMETRO_<=500KM,non_metro,3,100.0,15.866,16.0,31.866,31.556,34.407,0.98,9683.793
2032,NONMETRO_>500KM,non_metro,3,33.33,30.057,32.0,62.057,57.593,78.89,0.92,5153.737
2033,METRO_1M+,metro,32,96.88,10.996,4.0,14.996,12.92,30.736,0.995,45893.082
2033,METRO_250K-1M,metro,127,99.21,8.029,2.0,10.029,9.826,19.797,0.999,39993.309
2033,METRO_<250K,metro,108,95.37,8.612,1.0,9.612,9.054,23.889,0.996,14332.494
2033,METRO_UNKNOWN,metro,6,100.0,0.0,1.0,1.0,1.0,1.0,1.0,8885.38
2033,NONMETRO_<=250KM,non_metro,23,100.0,8.442,8.0,16.442,16.38,21.951,0.999,187094.528
2033,NONMETRO_<=500KM,non_metro,3,100.0,15.866,16.0,31.866,31.556,34.407,0.98,10383.36
2033,NONMETRO_>500KM,non_metro,3,33.33,30.057,32.0,62.057,57.593,78.89,0.92,5538.106
2034,METRO_1M+,metro,32,96.88,10.996,4.0,14.996,12.92,30.736,0.995,49319.619
2034,METRO_250K-1M,metro,127,99.21,8.029,2.0,10.029,9.826,19.797,0.999,42999.608
2034,METRO_<250K,metro,108,95.37,8.612,1.0,9.612,9.054,23.889,0.996,15401.817
2034,METRO_UNKNOWN,metro,6,100.0,0.0,1.0,1.0,1.0,1.0,1.0,9576.394
2034,NONMETRO_<=250KM,non_metro,23,100.0,8.442,8.0,16.442,16.38,21.951,0.999,201124.445
2034,NONMETRO_<=500KM,non_metro,3,100.0,15.866,16.0,31.866,31.556,34.407,0.98,11070.883
2034,NONMETRO_>500KM,non_metro,3,33.33,30.057,32.0,62.057,57.593,78.89,0.92,5918.175
